Features,NO,<30,>30,Absolute_Sum
diag_1_V58,-0.5460769721621109,0.8283651984302637,-0.28228822626816474,1.6567303968605394
discharge_disposition_id_y_Discharged/transferred to a long term care hospital.,0.4197791620972245,-0.6437594551998864,0.22398029310271483,1.2875189103998257
discharge_disposition_id_y_Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital,-0.27034649182539927,0.619026877306489,-0.34868038548109703,1.2380537546129853
discharge_disposition_id_y_Discharged/transferred within this institution to Medicare approved swing bed,-0.47716388575506646,0.5533857864214294,-0.0762219006663528,1.1067715728428487
discharge_disposition_id_y_Discharged/transferred to another rehab fac including rehab units of a hospital .,-0.31583649429623156,0.5257051794958749,-0.20986868519973698,1.0514103589918433
diag_2_250.03,-0.5175992959646267,0.35907595041623463,0.15852334554838834,1.0351985919292497
diag_1_443,-0.49032904648823417,0.4085633282562279,0.08176571823200987,0.9806580929764719
diag_3_536,-0.4799229835812549,0.3431305343119579,0.1367924492692913,0.9598459671625041
discharge_disposition_id_y_Discharged to home,0.15627005689614537,-0.4702391229650848,0.3139690660688231,0.9404782459300531
diag_2_250.41,-0.43864502522260546,0.2415446536533424,0.19710037156925553,0.8772900504452034
diag_2_648,0.42804414469745805,-0.06719633243563054,-0.36084781226184165,0.8560882893949302
diag_1_850,0.42656933616619114,-0.160839685405957,-0.26572965076023497,0.853138672332383
medical_specialty_Pediatrics-Endocrinology,0.4238750007038484,-0.26724664507734647,-0.1566283556265019,0.8477500014076967
admission_source_id_z_ Not Mapped,-0.42225770048603645,0.08970176327732753,0.33255593720870186,0.8445154009720659
diag_1_157,0.22182451929321317,0.19888888997624174,-0.42071340926945144,0.8414268185389063
medical_specialty_Surgery-Cardiovascular/Thoracic,0.40384671112785475,-0.13366253401334202,-0.2701841771145259,0.8076934222557227
diag_1_493,-0.16179818094620743,-0.2330309899945339,0.39482917094075565,0.789658341881497
diag_1_540,0.38284752654647786,-0.18571888682227772,-0.19712863972420486,0.7656950530929605
diag_2_296,0.29076779701544825,0.09206059533720763,-0.3828283923526605,0.7656567847053164
diag_1_654,0.38119649995751625,-0.1232462063409952,-0.2579502936165259,0.7623929999150374
miglitol_No,0.3799939926048049,-0.024464387445066654,-0.3555296051598989,0.7599879852097704
medical_specialty_PhysicalMedicineandRehabilitation,-0.10848293753323011,0.3784678942815023,-0.26998495674826667,0.756935788562999
diag_1_852,0.18157275862895642,0.1967616167978826,-0.3783343754268221,0.7566687508536611
diag_2_348,0.37517368065226214,-0.04022585345088489,-0.33494782720137983,0.7503473613045268
diag_2_189,-0.35143213780562843,-0.019611176414283407,0.3710433142199066,0.7420866284398184
diag_3_415,0.3687237569070167,-0.12529735171694883,-0.24342640519006847,0.737447513814034
discharge_disposition_id_y_Discharged/transferred to home with home health service,0.04789210635174843,-0.3654561804474691,0.3175640740958267,0.7309123608950443
diag_1_220,0.36377507071959225,-0.05357583711318864,-0.3101992336064064,0.7275501414391873
discharge_disposition_id_y_Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.,0.3599553830631458,-0.15698917154697392,-0.2029662115161739,0.7199107661262936
diag_3_198,0.3590496516083726,-0.056143762075816846,-0.30290588953254577,0.7180993032167352
diag_2_813,0.3569479223679908,-0.09450731887619815,-0.2624406034917958,0.7138958447359847
diag_3_356,-0.24827616270897807,-0.10815841920122642,0.3564345819102022,0.7128691638204068
diag_2_250.6,-0.3559412563840714,0.22153243925456112,0.1344088171295053,0.7118825127681379
diag_1_403,-0.3556753786931451,0.33433015784985676,0.02134522084329095,0.7113507573862927
diag_1_205,0.3554488747964929,-0.038842261408588895,-0.31660661338790264,0.7108977495929845
max_glu_serum_None,0.3554417739485646,-0.23909837831354702,-0.11634339563483179,0.7108835478969434
diag_1_290,0.3477043198354629,-0.07807724791707671,-0.2696270719183866,0.6954086396709263
diag_3_794,0.19355311988288626,0.153683671344533,-0.34723679122741635,0.6944735824548356
admission_source_id_z_ Not Available,0.22751157576549727,0.11419370935841133,-0.3417052851239131,0.6834105702478217
diag_2_490,-0.2666958348077647,-0.07492089297177504,0.34161672777953833,0.6832334555590781
diag_1_277,-0.3382387223257713,0.13435573991960437,0.20388298240616382,0.6764774446515395
admission_type_id_x_Trauma Center,0.3381424504044977,-0.1073030676364307,-0.23083938276806537,0.6762849008089937
diag_1_182,0.3314939135994701,0.005444345095416401,-0.33693825869489746,0.673876517389784
diag_1_250.12,0.2568906848648783,-0.3358230250859565,0.07893234022109692,0.6716460501719318
diag_2_571,-0.3339128435432724,0.13963259622080604,0.194280247322475,0.6678256870865534
diag_2_807,0.33382352500654,-0.2167899051238526,-0.1170336198826878,0.6676470500130804
diag_3_444,-0.33198633244150444,0.15304704748784967,0.17893928495365238,0.6639726648830065
diag_1_202,-0.30249182001085506,0.33166916417266484,-0.029177344161807662,0.6633383283453275
diag_3_250.6,-0.32872074934846895,0.231685514300862,0.09703523504761902,0.65744149869695
diag_2_403,-0.3274311531203076,0.17121638475785067,0.15621476836245243,0.6548623062406107
diag_1_278,0.3266578950680496,-0.034100318256297564,-0.29255757681173733,0.6533157901360844
diag_2_198,-0.1513394611917811,0.3238663104517723,-0.17252684925997322,0.6477326209035266
diag_3_250.01,-0.3232767726165133,0.15955500969622485,0.16372176292031992,0.6465535452330581
medical_specialty_Surgeon,0.22821470594018545,0.09413979687037606,-0.3223545028105643,0.6447090056211258
diag_3_785,0.029188770361227346,0.29309505602841907,-0.3222838263896552,0.6445676527793016
diag_2_724,0.2721757695760362,0.04934240419008869,-0.3215181737661101,0.6430363475322349
diag_1_282,-0.32012054743830776,0.05896269919215409,0.2611578482461523,0.6402410948766142
diag_3_174,-0.3200616344104667,0.19039694800007073,0.12966468641039625,0.6401232688209337
diag_1_250.6,-0.31927022999027926,0.137659169259459,0.18161106073081681,0.6385404599805551
diag_1_924,-0.31892492910955333,0.06680647493112597,0.25211845417843703,0.6378498582191163
diag_1_298,0.05600405492239139,0.2625344460086272,-0.3185385009310204,0.637077001862039
diag_1_250.92,-0.3173923827731103,0.11612057452743997,0.20127180824566776,0.634784765546218
diag_1_112,-0.13968476854982795,0.3167681486136951,-0.17708338006387006,0.6335362972273931
admission_source_id_z_ Transfer from a Skilled Nursing Facility (SNF),0.10930922643491305,-0.315560023875244,0.20625079744030841,0.6311200477504655
diag_3_466,0.04824250231252037,-0.315529143623075,0.26728664131055924,0.6310582872461545
diag_1_386,0.1879394826378466,-0.31437297061362696,0.12643348797578158,0.6287459412272551
medical_specialty_Oncology,-0.20109748023636997,0.3143457529256534,-0.11324827268929519,0.6286915058513185
diag_3_V12,-0.3133708256165709,0.2031803863495548,0.11019043926701673,0.6267416512331425
diag_1_250.41,-0.3133122342785101,0.2246288225947754,0.08868341168374026,0.6266244685570258
diag_2_250.22,-0.2598023958228968,-0.05273793856428464,0.3125403343871808,0.6250806687743623
diag_2_250.43,-0.21333143391991496,0.31158780285114973,-0.09825636893123413,0.6231756057022988
repaglinide_Up,0.04993877512898984,0.260903805603737,-0.3108425807327165,0.6216851614654433
diag_1_844,0.3087597985724869,-0.040538459608823414,-0.2682213389636614,0.6175195971449717
diag_1_576,-0.3079758746363654,0.22627743625931138,0.08169843837705335,0.6159517492727301
diag_2_294,0.3049949070548895,-0.17022412983113563,-0.13477077722375608,0.6099898141097813
diag_1_537,-0.3047921834185477,0.010448161266937237,0.2943440221516101,0.609584366837095
diag_1_626,0.3018077623474064,-0.11473851449884709,-0.18706924784856432,0.6036155246948178
diag_3_255,-0.017209913538567826,0.30143602171332873,-0.28422610817476357,0.6028720434266601
diag_3_331,0.0036388784671135353,0.29501959044639336,-0.298658468913505,0.5973169378270119
diag_1_304,0.29586404707150404,-0.10754721781185143,-0.1883168292596555,0.591728094143011
diag_1_428,-0.2956339710649844,0.13925100650681388,0.15638296455816622,0.5912679421299645
discharge_disposition_id_y_Discharged/transferred to another type of inpatient care institution,-0.21452022664182566,0.29496886028519914,-0.08044863364340951,0.5899377205704343
diag_2_440,-0.061798126646051284,0.2937972461647725,-0.23199911951872218,0.587594492329546
diag_3_250.52,0.24007219821887837,0.05153031783395778,-0.2916025160528364,0.5832050321056725
diag_2_250.5,-0.29085390596482363,0.13989164187065584,0.15096226409416652,0.5817078119296459
diag_1_250.43,-0.26834404026347547,0.290075808568246,-0.021731768304772085,0.5801516171364935
diag_3_344,0.2881736140035796,-0.17751291894596963,-0.11066069505760807,0.5763472280071573
diag_1_218,0.288009867120504,-0.20348610134473447,-0.08452376577577456,0.576019734241013
diag_1_707,-0.2868002139312594,0.2591835332945847,0.027616680636665492,0.5736004278625095
diag_1_721,0.09482307798724167,-0.2863823940095956,0.1915593160223616,0.5727647880191988
diag_3_437,0.28497219928198353,-0.18975770955384222,-0.09521448972813366,0.5699443985639594
discharge_disposition_id_y_Not Mapped,0.24382576999860303,0.03927042879286471,-0.2830961987914653,0.566192397582933
diag_2_593,-0.28257274896206547,0.23047675852463878,0.05209599043742629,0.5651454979241306
diag_2_135,-0.28112548094718914,0.0898323239295931,0.19129315701759253,0.5622509618943747
diag_2_272,0.2231027021863735,-0.2804956025262049,0.05739290033983871,0.5609912050524172
diag_1_442,0.280248971550526,-0.12846535271300358,-0.151783618837523,0.5604979431010526
